ts	dataset	model	acc-hat	acc	acc-val-hat	acc-val	acc-clean	T-hat-RRE	T-hat	acc-hat-std	acc-std	acc-val-hat-std	acc-val-std	acc-clean-std	T-hat-RRE-std	T-hat-std
2025-10-27 06:34:13	FashionMNIST0.3	forward-knownT	0.9898	0.9898	0.6840	0.6840										
2025-10-27 06:34:26	FashionMNIST0.3	forward-knownT	0.9902	0.9902	0.6845	0.6845										
2025-10-27 06:34:42	FashionMNIST0.3	forward-knownT	0.9866	0.9866	0.6859	0.6859										
2025-10-27 06:34:54	FashionMNIST0.3	forward-knownT	0.9882	0.9882	0.6851	0.6851										
2025-10-27 06:35:11	FashionMNIST0.3	forward-knownT	0.9892	0.9892	0.6899	0.6899										
2025-10-27 06:35:25	FashionMNIST0.3	forward-knownT	0.9872	0.9872	0.6880	0.6880										
2025-10-27 06:35:37	FashionMNIST0.3	forward-knownT	0.9872	0.9872	0.6832	0.6832										
2025-10-27 06:35:49	FashionMNIST0.3	forward-knownT	0.9876	0.9876	0.6942	0.6942										
2025-10-27 06:36:01	FashionMNIST0.3	forward-knownT	0.9919	0.9919	0.6950	0.6950										
2025-10-27 06:36:14	FashionMNIST0.3	forward-knownT	0.9881	0.9881	0.6913	0.6913										
2025-10-27 06:36:14	FashionMNIST0.3	forward-knownT	0.9886	0.9886	0.6881	0.6881				0.0016	0.0016	0.0041	0.0041			
2025-10-27 06:36:32	FashionMNIST0.3	forward-estT	0.9715	0.9715	0.6878	0.6878		0.186985	[[0.7897862792015076, 0.20426969230175018, 0.005944001954048872], [0.0016091227298602462, 0.7441469430923462, 0.254243940114975], [0.15903884172439575, 0.000749200233258307, 0.8402119874954224]]							
2025-10-27 06:36:49	FashionMNIST0.3	forward-estT	0.9893	0.9893	0.6867	0.6867		0.110859	[[0.6021752953529358, 0.3860377073287964, 0.011786974035203457], [0.0018712420715019107, 0.7333582043647766, 0.2647705376148224], [0.267326682806015, 0.003797579323872924, 0.7288757562637329]]							
2025-10-27 06:37:09	FashionMNIST0.3	forward-estT	0.9763	0.9763	0.6859	0.6859		0.149785	[[0.7829756140708923, 0.21251635253429413, 0.004508045967668295], [0.0015853195218369365, 0.7480826377868652, 0.2503320276737213], [0.19986216723918915, 0.00181686133146286, 0.7983209490776062]]							
2025-10-27 06:37:27	FashionMNIST0.3	forward-estT	0.9836	0.9836	0.6932	0.6932		0.088172	[[0.7425232529640198, 0.2525630593299866, 0.004913689568638802], [0.0012283709365874529, 0.7438033819198608, 0.25496822595596313], [0.2454545497894287, 0.004538747016340494, 0.7500066757202148]]							
2025-10-27 06:37:43	FashionMNIST0.3	forward-estT	0.9812	0.9812	0.6926	0.6926		0.103847	[[0.7792734503746033, 0.2116774022579193, 0.009049166925251484], [0.0027340841479599476, 0.6513023376464844, 0.34596359729766846], [0.29198914766311646, 0.001805739477276802, 0.7062051296234131]]							
2025-10-27 06:38:01	FashionMNIST0.3	forward-estT	0.9860	0.9860	0.6899	0.6899		0.137818	[[0.7741085886955261, 0.22217702865600586, 0.0037143616937100887], [0.0010844854405149817, 0.7069990634918213, 0.29191645979881287], [0.19554518163204193, 0.0022006635554134846, 0.8022541403770447]]							
2025-10-27 06:38:19	FashionMNIST0.3	forward-estT	0.9868	0.9868	0.6918	0.6918		0.057164	[[0.6826648116111755, 0.3113373816013336, 0.005997809581458569], [0.00261514401063323, 0.655414879322052, 0.34196993708610535], [0.3258312940597534, 0.00231341365724802, 0.6718553304672241]]							
2025-10-27 06:38:35	FashionMNIST0.3	forward-estT	0.9918	0.9918	0.7015	0.7015		0.064814	[[0.6558610200881958, 0.33863288164138794, 0.005506082903593779], [0.0007933225715532899, 0.7424946427345276, 0.25671201944351196], [0.30235934257507324, 0.0074764215387403965, 0.6901642680168152]]							
2025-10-27 06:38:51	FashionMNIST0.3	forward-estT	0.9764	0.9764	0.6994	0.6994		0.116295	[[0.7420762181282043, 0.22082175314426422, 0.03710203617811203], [0.0006633697194047272, 0.7513808608055115, 0.247955784201622], [0.23342621326446533, 0.0007346664206124842, 0.7658390998840332]]							
2025-10-27 06:39:07	FashionMNIST0.3	forward-estT	0.9894	0.9894	0.6921	0.6921		0.114880	[[0.7315948605537415, 0.262275755405426, 0.0061293975450098515], [0.0003732006880454719, 0.6336489915847778, 0.36597782373428345], [0.22194388508796692, 0.0029054773040115833, 0.7751506567001343]]							
2025-10-27 06:39:07	FashionMNIST0.3	forward-estT	0.9832	0.9832	0.6921	0.6921		0.113062		0.0063	0.0063	0.0048	0.0048		0.036880	0.121036
2025-10-27 06:39:35	FashionMNIST0.3	gce	0.9831	0.9831	0.6888	0.6888										
2025-10-27 06:39:55	FashionMNIST0.3	gce	0.9835	0.9835	0.6778	0.6778										
2025-10-27 06:40:10	FashionMNIST0.3	gce	0.9758	0.9758	0.6786	0.6786										
2025-10-27 06:40:30	FashionMNIST0.3	gce	0.9813	0.9813	0.6897	0.6897										
2025-10-27 06:40:51	FashionMNIST0.3	gce	0.9799	0.9799	0.6835	0.6835										
2025-10-27 06:41:18	FashionMNIST0.3	gce	0.9799	0.9799	0.6859	0.6859										
2025-10-27 06:41:43	FashionMNIST0.3	gce	0.9767	0.9767	0.6862	0.6862										
2025-10-27 06:42:08	FashionMNIST0.3	gce	0.9828	0.9828	0.6996	0.6996										
2025-10-27 06:42:27	FashionMNIST0.3	gce	0.9745	0.9745	0.6956	0.6956										
2025-10-27 06:42:52	FashionMNIST0.3	gce	0.9789	0.9789	0.6905	0.6905										
2025-10-27 06:42:52	FashionMNIST0.3	gce	0.9796	0.9796	0.6876	0.6876				0.0030	0.0030	0.0065	0.0065			
2025-10-27 06:43:04	FashionMNIST0.6	forward-knownT	0.9544	0.9544	0.3723	0.3723										
2025-10-27 06:43:17	FashionMNIST0.6	forward-knownT	0.9226	0.9226	0.3901	0.3901										
2025-10-27 06:43:29	FashionMNIST0.6	forward-knownT	0.9435	0.9435	0.3386	0.3386										
2025-10-27 06:43:41	FashionMNIST0.6	forward-knownT	0.9134	0.9134	0.3489	0.3489										
2025-10-27 06:43:53	FashionMNIST0.6	forward-knownT	0.9438	0.9438	0.3766	0.3766										
2025-10-27 06:44:05	FashionMNIST0.6	forward-knownT	0.9477	0.9477	0.3599	0.3599										
2025-10-27 06:44:18	FashionMNIST0.6	forward-knownT	0.9525	0.9525	0.3516	0.3516										
2025-10-27 06:44:30	FashionMNIST0.6	forward-knownT	0.9487	0.9487	0.3365	0.3365										
2025-10-27 06:44:41	FashionMNIST0.6	forward-knownT	0.9451	0.9451	0.3408	0.3408										
2025-10-27 06:44:53	FashionMNIST0.6	forward-knownT	0.9576	0.9576	0.3645	0.3645										
2025-10-27 06:44:53	FashionMNIST0.6	forward-knownT	0.9429	0.9429	0.3580	0.3580				0.0134	0.0134	0.0170	0.0170			
2025-10-27 06:45:10	FashionMNIST0.6	forward-estT	0.8079	0.8079	0.3693	0.3693		0.054282	[[0.43097469210624695, 0.3066291809082031, 0.2623961269855499], [0.31808677315711975, 0.3948560953140259, 0.28705713152885437], [0.3049719035625458, 0.2936532497406006, 0.40137484669685364]]							
2025-10-27 06:45:26	FashionMNIST0.6	forward-estT	0.9514	0.9514	0.3909	0.3909		0.038833	[[0.3948858976364136, 0.29852861166000366, 0.30658549070358276], [0.3120649755001068, 0.4003385901451111, 0.2875964045524597], [0.30262407660484314, 0.2746397852897644, 0.42273613810539246]]							
2025-10-27 06:45:43	FashionMNIST0.6	forward-estT	0.9498	0.9498	0.3966	0.3966		0.044797	[[0.38565531373023987, 0.3147003948688507, 0.2996442914009094], [0.31149885058403015, 0.38373374938964844, 0.3047674000263214], [0.288470596075058, 0.28333762288093567, 0.42819181084632874]]							
2025-10-27 06:45:59	FashionMNIST0.6	forward-estT	0.8957	0.8957	0.3871	0.3871		0.060465	[[0.4005211591720581, 0.3134152293205261, 0.28606361150741577], [0.3355724811553955, 0.3657457232475281, 0.2986817955970764], [0.31734487414360046, 0.27611467242240906, 0.4065404534339905]]							
2025-10-27 06:46:17	FashionMNIST0.6	forward-estT	0.9064	0.9064	0.3766	0.3766		0.082484	[[0.40714678168296814, 0.2948482930660248, 0.2980048954486847], [0.29027143120765686, 0.38754212856292725, 0.3221864402294159], [0.27856287360191345, 0.2586285471916199, 0.4628085792064667]]							
2025-10-27 06:46:34	FashionMNIST0.6	forward-estT	0.9310	0.9310	0.3675	0.3675		0.050763	[[0.4248168468475342, 0.286272257566452, 0.2889108657836914], [0.31052669882774353, 0.38923659920692444, 0.30023667216300964], [0.3300574719905853, 0.29269394278526306, 0.377248615026474]]							
2025-10-27 06:46:50	FashionMNIST0.6	forward-estT	0.8851	0.8851	0.3782	0.3782		0.074723	[[0.3512273132801056, 0.3301484286785126, 0.31862422823905945], [0.28458791971206665, 0.414029598236084, 0.30138248205184937], [0.275501012802124, 0.2932230830192566, 0.4312759041786194]]							
2025-10-27 06:47:06	FashionMNIST0.6	forward-estT	0.9439	0.9439	0.3842	0.3842		0.069907	[[0.40309521555900574, 0.300109326839447, 0.29679545760154724], [0.32599401473999023, 0.35514259338378906, 0.3188633620738983], [0.32991766929626465, 0.2680322229862213, 0.40205010771751404]]							
2025-10-27 06:47:23	FashionMNIST0.6	forward-estT	0.9411	0.9411	0.3887	0.3887		0.069107	[[0.38282057642936707, 0.30737748742103577, 0.30980193614959717], [0.31629127264022827, 0.3652955889701843, 0.3184131681919098], [0.28052711486816406, 0.27773675322532654, 0.4417361617088318]]							
2025-10-27 06:47:39	FashionMNIST0.6	forward-estT	0.9127	0.9127	0.3763	0.3763		0.092091	[[0.366842657327652, 0.2967304289340973, 0.33642691373825073], [0.2776162624359131, 0.40942102670669556, 0.31296271085739136], [0.2724943161010742, 0.26727360486984253, 0.46023204922676086]]							
2025-10-27 06:47:40	FashionMNIST0.6	forward-estT	0.9125	0.9125	0.3815	0.3815		0.063745		0.0413	0.0413	0.0090	0.0090		0.016095	0.052209
2025-10-27 06:47:54	FashionMNIST0.6	gce	0.9573	0.9573	0.3750	0.3750										
2025-10-27 06:48:08	FashionMNIST0.6	gce	0.9045	0.9045	0.3879	0.3879										
2025-10-27 06:48:22	FashionMNIST0.6	gce	0.9493	0.9493	0.3904	0.3904										
2025-10-27 06:48:38	FashionMNIST0.6	gce	0.8099	0.8099	0.3815	0.3815										
2025-10-27 06:48:56	FashionMNIST0.6	gce	0.9483	0.9483	0.3685	0.3685										
2025-10-27 06:49:14	FashionMNIST0.6	gce	0.9497	0.9497	0.3844	0.3844										
2025-10-27 06:49:34	FashionMNIST0.6	gce	0.9301	0.9301	0.3785	0.3785										
2025-10-27 06:49:53	FashionMNIST0.6	gce	0.9231	0.9231	0.3521	0.3521										
2025-10-27 06:50:08	FashionMNIST0.6	gce	0.9416	0.9416	0.3895	0.3895										
2025-10-27 06:50:27	FashionMNIST0.6	gce	0.9267	0.9267	0.3815	0.3815										
2025-10-27 06:50:27	FashionMNIST0.6	gce	0.9241	0.9241	0.3789	0.3789				0.0409	0.0409	0.0110	0.0110			
2025-10-27 06:51:31	CIFAR	forward-estT	0.6628	0.6628	0.3670	0.3670			[[0.3848566710948944, 0.31327518820762634, 0.30186817049980164], [0.32276734709739685, 0.33929648995399475, 0.3379361629486084], [0.34827515482902527, 0.2579383850097656, 0.3937864601612091]]							
2025-10-27 06:52:35	CIFAR	forward-estT	0.4648	0.4648	0.3349	0.3349			[[0.40166938304901123, 0.33559614419937134, 0.2627345025539398], [0.3466871678829193, 0.3484191596508026, 0.3048936426639557], [0.3333333432674408, 0.3333333432674408, 0.3333333432674408]]							
2025-10-27 06:53:38	CIFAR	forward-estT	0.4944	0.4944	0.3582	0.3582			[[0.3754056692123413, 0.3398406207561493, 0.284753680229187], [0.34051498770713806, 0.34515056014060974, 0.3143344521522522], [0.34117087721824646, 0.3153791129589081, 0.34344998002052307]]							
2025-10-27 06:54:41	CIFAR	forward-estT	0.5640	0.5640	0.3501	0.3501			[[0.3468547463417053, 0.3428667485713959, 0.3102785050868988], [0.3192979395389557, 0.35414761304855347, 0.32655447721481323], [0.26727548241615295, 0.2861707806587219, 0.4465537369251251]]							
2025-10-27 06:56:01	CIFAR	forward-estT	0.5411	0.5411	0.3614	0.3614			[[0.41309088468551636, 0.35136276483535767, 0.23554636538028717], [0.31684166193008423, 0.3652213513851166, 0.3179369866847992], [0.27347224950790405, 0.3443141579627991, 0.3822135925292969]]							
2025-10-27 06:56:59	CIFAR	forward-estT	0.4655	0.4655	0.3561	0.3561			[[0.3333333432674408, 0.3333333432674408, 0.3333333432674408], [0.3315823972225189, 0.39565715193748474, 0.27276045083999634], [0.32853010296821594, 0.3344070613384247, 0.33706286549568176]]							
2025-10-27 06:58:02	CIFAR	forward-estT	0.6494	0.6494	0.3587	0.3587			[[0.36832118034362793, 0.3526730239391327, 0.27900582551956177], [0.3304617404937744, 0.3980126678943634, 0.2715255916118622], [0.31898415088653564, 0.28909924626350403, 0.3919166028499603]]							
2025-10-27 06:58:45	CIFAR	forward-estT	0.6285	0.6285	0.3495	0.3495			[[0.3673850893974304, 0.3192572593688965, 0.3133576810359955], [0.3119387924671173, 0.36376237869262695, 0.32429879903793335], [0.3595048785209656, 0.2624453902244568, 0.37804973125457764]]							
2025-10-27 06:59:26	CIFAR	forward-estT	0.5865	0.5865	0.3741	0.3741			[[0.3548804223537445, 0.3479795455932617, 0.2971400320529938], [0.3372904360294342, 0.3730815351009369, 0.2896280288696289], [0.3164270222187042, 0.3133535087108612, 0.37021946907043457]]							
2025-10-27 07:00:07	CIFAR	forward-estT	0.6223	0.6223	0.3675	0.3675			[[0.40737831592559814, 0.32725441455841064, 0.2653672695159912], [0.3264245390892029, 0.3455442786216736, 0.32803115248680115], [0.3282487392425537, 0.25242239236831665, 0.41932886838912964]]							
2025-10-27 07:00:07	CIFAR	forward-estT	0.5679	0.5679	0.3577	0.3577				0.0706	0.0706	0.0105	0.0105			0.072062
2025-10-27 07:00:36	CIFAR	gce	0.6420	0.6420	0.3556	0.3556										
2025-10-27 07:01:02	CIFAR	gce	0.5489	0.5489	0.3322	0.3322										
2025-10-27 07:01:28	CIFAR	gce	0.5892	0.5892	0.3631	0.3631										
2025-10-27 07:01:53	CIFAR	gce	0.6232	0.6232	0.3326	0.3326										
2025-10-27 07:02:41	CIFAR	gce	0.6368	0.6368	0.3617	0.3617										
2025-10-27 07:03:09	CIFAR	gce	0.6301	0.6301	0.3395	0.3395										
2025-10-27 07:03:46	CIFAR	gce	0.6614	0.6614	0.3676	0.3676										
2025-10-27 07:04:28	CIFAR	gce	0.6915	0.6915	0.3720	0.3720										
2025-10-27 07:05:11	CIFAR	gce	0.5944	0.5944	0.3713	0.3713										
2025-10-27 07:05:44	CIFAR	gce	0.5300	0.5300	0.3591	0.3591										
2025-10-27 07:05:44	CIFAR	gce	0.6148	0.6148	0.3555	0.3555				0.0471	0.0471	0.0145	0.0145			
